WT_N2_L4a	WT_N2_L4b	WT_N2_L4c	WT_N2_L4d	lin_n833_L4a	lin_n833_L4b	lin_n3368_L4a	lin_n3368_L4b	lin_n3368_L4c	lin_n3368_L4d	lin_CRISPR_L4a	lin_CRISPR_L4b	let418_L4a	let418_L4b	sin-3_tm1276_25Ca	sin-3_tm1276_25Cb
WBGene00268192	1	0	0	0	0	1	7	5	2	0	5	2	0	0	0	0
WBGene00268190	9	3	7	2	0	0	0	3	1	1	5	1	4	6	3	7
WBGene00268189	4	1	2	0	9	12	2	5	9	6	4	5	1	2	2	6
WBGene00255728	43	24	11	7	4	2	1	1	6	3	3	2	16	43	11	8
WBGene00255596	212	241	715	201	196	232	163	198	206	173	306	164	354	380	101	125
WBGene00249816	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
WBGene00236807	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
WBGene00236788	0	0	2	0	1	0	1	2	1	0	0	0	0	0	0	0
WBGene00235376	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0
WBGene00235370	2	7	6	2	12	7	20	13	12	12	15	8	19	11	2	9
WBGene00235292	6	5	35	8	15	8	37	20	55	31	60	36	32	37	2	1
WBGene00235287	2	3	6	3	37	35	15	21	43	39	17	13	1	3	13	23
WBGene00235278	1	0	0	0	8	10	3	2	3	0	0	0	0	1	1	3
WBGene00235272	0	0	7	3	0	0	20	33	2	3	4	1	17	16	0	2
WBGene00235270	283	381	933	254	675	369	394	370	297	263	398	260	331	421	204	278
WBGene00235266	0	0	1	0	1	0	8	14	0	0	2	0	1	0	0	0
WBGene00235259	4	7	20	8	8	7	11	5	5	8	10	10	32	22	12	3
WBGene00235121	29	13	136	20	2	0	18	11	0	1	3	5	15	12	3	1
WBGene00235119	7	8	3	4	0	0	0	0	2	2	0	1	3	8	0	0
WBGene00235003	0	0	1	0	0	0	0	0	1	2	0	3	2	0	0	0
WBGene00219477	11	25	0	0	2	2	0	1	5	18	1	0	0	0	12	17
WBGene00219377	4	5	4	1	14	11	10	5	2	1	2	0	12	19	11	3
WBGene00219352	1	1	4	2	0	3	15	15	5	9	27	14	4	4	6	1
WBGene00219323	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WBGene00219312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00219304	352	369	358	149	105	96	39	43	180	200	337	211	366	311	135	133
WBGene00215616	0	1	0	0	5	7	1	1	2	5	5	1	4	1	3	1
WBGene00206470	0	0	1	0	1	1	1	3	1	1	2	4	0	0	0	0
WBGene00195253	20	8	55	18	10	10	118	107	126	132	234	121	64	62	18	20
WBGene00195247	2	0	1	0	0	3	2	2	6	1	4	4	0	0	0	4
WBGene00194932	6	7	4	2	0	0	0	5	0	1	3	1	0	0	1	0
WBGene00194891	0	0	1	2	0	1	5	2	4	1	2	0	7	2	0	1
WBGene00194885	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
WBGene00194844	1	0	0	1	0	1	0	6	0	0	0	0	1	2	0	0
WBGene00194794	188	81	429	122	8	12	43	34	32	38	67	31	169	128	10	12
WBGene00194769	74	49	90	40	245	151	41	35	31	43	59	49	38	32	49	50
WBGene00194683	1	0	1	0	30	22	15	19	4	1	1	0	4	5	3	12
WBGene00194676	2	2	6	1	1	0	3	1	4	2	7	4	4	4	4	0
WBGene00194652	20	15	51	15	0	0	9	11	25	19	66	45	31	52	0	0
WBGene00194650	53	78	105	30	176	205	194	220	240	271	298	188	311	271	244	206
WBGene00194644	15	18	35	13	13	17	30	33	41	38	91	36	22	27	19	16
WBGene00175036	1	2	11	3	9	6	0	0	2	3	0	3	4	5	6	5
WBGene00175025	9	20	49	16	15	13	20	25	16	15	19	19	26	38	15	20
