baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HIS-19	3786.30627325663	6.15760182710792	0.183160517481967	30.8887630636059	1.69081973504461e-209	3.278330384278e-205
C42D4.3	3275.63913866636	5.18799461024381	0.191556804519116	24.4731301611162	2.85523020819543e-132	2.76800292533506e-128
PRG-2	3459.54486681252	-2.65388659145556	0.0887346697981868	-24.2733375393658	3.74995736253561e-130	2.42359744340677e-126
ZIG-4	558.995933127927	4.40240708525292	0.166057226234521	23.5003749836312	4.04288617774822e-122	1.95968800250901e-118
CYP-13A5	419.145004879895	3.73635145951257	0.143481754522205	22.5558397323035	1.17684375730692e-112	4.56356472208478e-109
C45B2.2	3484.96047881303	5.11483156867436	0.206662239584513	22.3303085167001	1.87627660092594e-110	6.06318783589218e-107
ZK813.2	1528.66586350562	-4.59450794508633	0.183807844225339	-22.2760239767932	6.31186156038378e-110	1.74829548277544e-106
C06A5.6	1028.43667487774	-2.48198834764329	0.0912555170073084	-21.7191071032402	1.35384740507402e-104	3.28121841712252e-101
TTR-7	646.8686856578	3.5674208827042	0.141809103105919	21.6306345327711	9.25021337934658e-104	1.99280430235723e-100
Y50C1A.2	246.537784128381	6.03672668944185	0.264180706745002	20.958103858758	1.58267232905793e-97	3.06864337881042e-94
F08B12.4	12429.0379043069	3.51765969896341	0.144400499599628	20.8978480499051	5.60138050215173e-97	9.87319695965635e-94
COL-12	11131.0467719221	3.37959280021404	0.140320742061568	20.5215049315416	1.38362379135266e-93	2.23559014087807e-90
C16D9.1	546.042339269877	4.87509709704275	0.214706268273644	20.3771279349267	2.66861252507198e-92	3.98013294220159e-89
B0513.4	849.139984639132	-4.7949162396875	0.212583957162057	-20.2033883319493	9.14051421138541e-91	1.26589592888965e-87
HIS-18	558.678532526537	5.4097099430216	0.245976263578152	19.9600964402067	1.2247568444911e-88	1.58312069718919e-85
DYF-1	209.013664711822	4.88460059460702	0.220617950217163	19.8741788249374	6.80915192445124e-88	8.25141541644907e-85
ZC239.22	489.156297383779	5.50878512019483	0.261074603649863	19.1852637145523	4.9144177020218e-82	5.60503793085298e-79
HIS-17	384.210153724356	6.84778261758917	0.331177229948223	19.1673280756095	6.93820208867663e-82	7.47360001651952e-79
DYF-2	525.606791193322	4.89193068906134	0.229833607765546	19.1091752496944	2.11789611614899e-81	2.16125725242173e-78
HIS-8	341.137507352155	6.61408394920941	0.320119767404694	19.0993639623636	2.55581579169608e-81	2.47773561925976e-78
K11D12.13	1060.9712867134	-3.64803809647113	0.165052848890628	-19.0729097839273	4.240401973525e-81	3.91510256498458e-78
POS-1	6051.13261058839	-2.38143293093548	0.098895955960779	-19.02436669586	1.07174399218412e-80	9.4454746656627e-78
TTR-29	204.446790923572	4.10574223911127	0.190442784443711	18.9334673384647	6.0449417630535e-80	5.0958859062541e-77
DYF-13	202.705882464266	6.25572113097776	0.30428265757096	18.9157054724208	8.46797337923182e-80	6.84106399374691e-77
T14G8.4	226.348221619093	4.00603829806817	0.189136988192114	18.5370314478465	1.03795095175934e-76	8.04993240146475e-74
C07E3.3	916.600901761342	2.94263079306358	0.13223784156592	18.4714962384345	3.50240745785425e-76	2.61185300770523e-73
FIPR-24	604.364570530557	7.6869129383304	0.38930118965739	18.4610608168327	4.24913664144992e-76	3.05135223485454e-73
RIC-19	396.851945732356	2.70886058690315	0.119864143057153	18.4280346946621	7.82753695155548e-76	5.42028978406104e-73
W08E12.7	10623.4199928512	-1.69834348446784	0.0651889837601254	-18.3826072343352	1.81053720498966e-75	1.21050020232912e-72
BBS-9	163.562962731173	5.71387568292382	0.284622911325338	18.3185382323776	5.88729970433746e-75	3.8049617989133e-72
F15B9.6	683.325441077091	5.24726761958045	0.259180767347031	18.3164347732024	6.11926310874874e-75	3.82730298114611e-72
RRF-2	1101.17333237755	3.18347495149766	0.146596869308309	18.3051313725808	7.53101237901646e-75	4.56308746927344e-72
LGC-20	260.772677707319	5.75498066700462	0.288714746144229	18.2012894636821	5.04071497801797e-74	2.96164917299365e-71
CYN-10	521.558665849109	-3.3157935097573	0.156915553143372	-17.9446425376619	5.2849549398817e-72	3.01382327439312e-69
HSP-43	6791.23123056829	2.57297470976891	0.116018628875373	17.8676022106389	2.10865132133374e-71	1.16813258483828e-68
