baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HIS-19	3786.30627325663	5.48652557580379	0.157445325669409	31.6714742378194	3.83963781639764e-220	7.44467376221339e-216
ZK813.2	1528.66586350562	-6.42837376110268	0.191239945617035	-30.9996624500954	5.44726164212932e-211	5.28084779896227e-207
ZIG-4	558.995933127927	4.7209811562651	0.152314221541749	27.7123246505786	4.96019685768415e-169	3.20577522912126e-165
PRG-2	3459.54486681252	-2.4168594095514	0.0742812079587367	-25.8054420791893	7.70381283434307e-147	3.73423067612694e-143
F08B12.4	12429.0379043069	3.59322116026115	0.121017871349213	25.5600360985962	4.24687948854339e-144	1.64685492806735e-140
C06A5.6	1028.43667487774	-2.49305487995134	0.0797738498928391	-24.9838121468204	9.16775996788849e-138	2.96256163362317e-134
B0513.4	849.139984639132	-4.95910377303814	0.187884498516949	-23.7332180580926	1.63770727364883e-124	4.53621518982531e-121
F55B11.3	1715.83427387053	-4.24197096633408	0.158675906054315	-23.5824773866625	5.83142367635808e-123	1.41331842076133e-119
RRF-2	1101.17333237755	3.45994590258776	0.127907237698905	23.1413480256332	1.77673200528705e-118	3.82767298339008e-115
F15B9.6	683.325441077091	5.9081058506353	0.237892443371206	22.733407476069	2.09434381880657e-114	4.06072323028406e-111
K11D12.13	1060.9712867134	-3.76213399008308	0.145608071758869	-22.4035244109631	3.63642165744007e-111	6.40968904691869e-108
C10G8.4	1331.42160693023	-7.39510895839537	0.308992884286307	-22.3147823430345	2.65532158677551e-110	4.29033585383253e-107
ZK596.1	4917.70224485863	4.68730108529073	0.187978863639332	22.2753824777064	6.40288824627579e-110	9.54966155438779e-107
ZK669.4	2285.90412945412	-2.50134891486427	0.0923993639909201	-21.6597693795916	4.91689209315525e-104	6.80954434244194e-101
T04G9.7	955.599850926067	-4.87827458279853	0.205042930911617	-21.3529652708962	3.65965236791889e-101	4.73046665077196e-98
W08E12.7	10623.4199928512	-1.63947903706862	0.0544392687984642	-20.9311965832422	2.78419040726508e-97	3.37391673790392e-94
TBH-1	1611.28726838334	-5.87307101229526	0.257167545380457	-20.8932701999635	6.16499860247576e-97	7.03136222961191e-94
C42D4.3	3275.63913866636	3.91320761499518	0.164083905103878	20.8015991137848	4.18617333958084e-96	4.50920638228516e-93
DYF-2	525.606791193322	4.76952579672427	0.206835670115106	20.6421155226671	1.14920920802813e-94	1.17273775444512e-91
CYN-10	521.558665849109	-3.31106079226002	0.13733483391071	-20.4686656124524	4.09684989048715e-93	3.97169112633277e-90
NOL-5	7363.626813509	-1.76992913017903	0.0621074833806137	-20.4472804411751	6.35191283743918e-93	5.86463038119564e-90
TTR-42	403.70241737902	-6.07058675173279	0.2769407492741	-20.114724056803	5.48433865906766e-90	4.83344737548468e-87
F53A9.7	1194.77560682828	4.43737774139008	0.198561522487515	19.8295102296955	1.65644761049357e-87	1.39638533564608e-84
CYP-13A5	419.145004879895	3.31058531826	0.143119375114868	19.638049118117	7.31549491266287e-86	5.91000545256752e-83
C07E3.3	916.600901761342	2.76009278192314	0.115592907431376	19.55217523415	3.9530122007415e-85	3.06579814240707e-82
HIS-18	558.678532526537	4.70451956263008	0.217472766042925	19.3335452486045	2.80467053820242e-83	2.02723819314746e-80
Y50C1A.2	246.537784128381	5.19274502044247	0.242729752456599	19.3332089410075	2.82301465856834e-83	2.02723819314746e-80
ERFA-1	4652.03367259333	-1.64051671974778	0.0591978804786536	-19.2661749124453	1.0329422349999e-82	7.15275606943326e-80
TTR-7	646.8686856578	2.91727412953177	0.126170108844859	19.1588495219902	8.16582707325619e-82	5.45955934908153e-79
ZK813.1	4049.97381525129	-2.76181594101535	0.118694755462699	-19.0557361376101	5.88824473654647e-81	3.80557257322998e-78
F13G11.3	1427.61988327541	-7.1747736419148	0.352576652870749	-18.9314113330179	6.28556068327818e-80	3.93131406735744e-77
C27B7.5	1331.24880012771	-2.25839049481393	0.0931537111775245	-18.8762258914509	1.78923596722762e-79	1.08410925526801e-76
DYF-1	209.013664711822	4.35040331457028	0.206342288625682	18.6602724056975	1.04198688241646e-77	5.9420834303449e-75
RIC-19	396.851945732356	2.53477407624331	0.109037059233377	18.6613073623728	1.02199959738456e-77	5.9420834303449e-75
INX-8	767.100775481358	-3.68421835607656	0.17153904072597	-18.5626452299176	6.445158377048e-77	3.57043359350239e-74
C45B2.2	3484.96047881303	3.72224592927654	0.174128187319502	18.505021954683	1.88102258043148e-76	1.01308741144406e-73
LGC-33	274.919002960494	3.5899866899329	0.167015187601043	18.5012317401582	2.01808700845199e-76	1.05753213532096e-73
T20D4.12	799.957102252907	5.42027493122671	0.266574676309785	18.4573981270032	4.54725395216256e-76	2.3201764968021e-73
B0507.8	862.771364043703	5.44340654697937	0.268490640072306	18.4118394058284	1.05575180126217e-75	5.2487106858134e-73
HIS-17	384.210153724356	6.18415004628889	0.309211486637065	18.3827260368262	1.80657586797538e-75	8.75692487604367e-73
EIF-3.C	5264.87248825317	-1.63446936366573	0.0617405028329077	-18.3747995499165	2.09078806418162e-75	9.88738775034573e-73
M03C11.1	276.09297659734	3.26974838745933	0.151060938282398	18.3353050692793	4.32582738774779e-75	1.99698731478671e-72
JIP-1	357.965415447355	2.80399800834295	0.125707196241271	18.3282904816432	4.92130544389835e-75	2.21905095934291e-72
HIS-8	341.137507352155	5.96810298789888	0.300085109239082	18.2218404697394	3.46308633608446e-74	1.52604047659867e-71
FIPR-24	604.364570530557	7.06826215142224	0.361161375824956	18.1865021873371	6.60214119790521e-74	2.84464257080409e-71
T14G8.4	226.348221619093	3.81020119658945	0.18247243664051	18.1408285959972	1.51726337276283e-73	6.39526511619533e-71
F08G2.8	324.656918983069	4.01092933912873	0.193670123197564	18.1283993687927	1.9021575940117e-73	7.84700714687084e-71
ZK813.7	3711.21809815028	-3.15817924844165	0.147903546029968	-17.9723834877025	3.20638005051332e-72	1.29517714165422e-69
Y22D7AR.10	747.376817401913	-6.58789363659563	0.339235833485883	-17.9459038098608	5.16631859666453e-72	2.04428063817813e-69
TRY-5	277.138385209738	5.53457863403003	0.280636755333902	17.9398405174685	5.76202571541775e-72	2.2343983319247e-69
T28A11.2	2225.86375744809	2.08319636442275	0.0885221764701284	17.8847428695677	1.55066866806635e-71	5.89527741277223e-69
DYF-13	202.705882464266	5.70103315153444	0.291492448945253	17.8427714692235	3.2896730069621e-71	1.22660519099977e-68
LGC-20	260.772677707319	5.23621729002301	0.265930335657834	17.8099925241962	5.91177165873812e-71	2.16270454134478e-68
TUB-1	266.134747773359	4.53206208966289	0.227096287703466	17.7548568954495	1.58073020782149e-70	5.67569962952793e-68
ZC239.22	489.156297383779	4.62822412199541	0.23330951053914	17.6941956307557	4.64820014056216e-70	1.63861731864291e-67
T12F5.2	400.478463491799	-2.41496315832433	0.109404913685872	-17.5034474577866	1.34854044199977e-68	4.66908046963098e-66
F58B4.3	305.953912624035	3.2109773541423	0.154995183957121	17.4907199367709	1.6861369531859e-68	5.73552796233709e-66
PFD-5	1497.00541893815	-1.71733027356313	0.069742760926214	-17.4545753193085	3.17731835394731e-68	1.06215561318421e-65
LYS-10	767.687794465575	6.11319266560712	0.326463670304513	17.1939274602021	2.94863782629148e-66	9.52852313566093e-64
C25E10.8	1002.74351351159	2.79867728166523	0.133688519642325	17.1942758272377	2.93096970510667e-66	9.52852313566093e-64
C16D9.1	546.042339269877	3.68560118914152	0.186716041013859	17.0612078739666	2.88527115646033e-65	9.1709053200999e-63
BBS-9	163.562962731173	5.01064729817722	0.267385009416724	16.8694845983205	7.54518294387903e-64	2.35957342094952e-61
DOD-23	15773.6574905495	2.96243108561085	0.146098047687677	16.854647441114	9.69847147740687e-64	2.98482005516574e-61
INF-1	11158.2803666899	-1.68970919084793	0.0706299820593857	-16.8442516359076	1.15622397998765e-63	3.50281667937197e-61
IMB-3	8784.38268812183	-1.2876253250804	0.0474312767607437	-16.6056108726188	6.34707024614083e-62	1.89328223080653e-59
