baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
VIT-6	260592.21286604	-12.7844766811491	0.31402056842031	-39.1199746658205	0	0
VIT-5	207565.092465379	-12.5728511631426	0.326367997861712	-36.9915287106613	1.56695599341689e-299	1.45390011849186e-295
VIT-2	301944.952463574	-11.7617426705373	0.310826769939037	-36.2315725661149	1.938692531435e-287	1.19921057686131e-283
PERM-4	12728.074906413	-6.94750858639627	0.202170547402692	-31.8914335902442	3.50993638276553e-223	1.6283472363745e-219
VIT-4	65166.8634024855	-13.2855322339879	0.431104222828287	-29.657636267415	2.70359879367054e-193	1.00341365628289e-189
VIT-3	78642.4509149941	-13.4675167684385	0.456539609066281	-28.4039248970309	1.80856248005872e-177	5.59358232374162e-174
POS-1	6051.13261058839	-3.92831433395098	0.121945819661585	-28.1134223663016	6.71435563981974e-174	1.77997568011621e-170
PERM-2	11427.4402630378	-7.50475134378589	0.257072324975439	-27.2481736198369	1.74676785112974e-163	4.05184637667681e-160
VIT-1	54620.624807226	-10.5079940722527	0.381367786569831	-26.2423687177893	8.73521654435752e-152	1.80110459348492e-148
CHT-3	3554.01269589459	-6.17785943453775	0.222829747447502	-25.4807066811196	3.22590839026726e-143	5.98631819981895e-140
D1054.11	8262.65130010918	-6.80551788033202	0.258738595599321	-24.3702253454937	3.53911001285022e-131	5.97047859167833e-128
ZK813.7	3711.21809815028	-8.16128536470289	0.320880877371522	-23.8757928719838	5.46615827122429e-126	8.4529582532591e-123
D1054.10	6872.38457428523	-6.5382210237346	0.260230067850803	-23.2033948790133	4.20771751135304e-119	6.00635491216757e-116
ZC373.2	3793.11144572364	-7.14318740436998	0.294149207473466	-22.5844137450863	6.16717571203065e-113	8.17459140629663e-110
Y37D8A.19	2891.21000621508	-6.45212948575181	0.264834052908828	-22.4749401384606	7.30019470596957e-112	9.03131421057849e-109
F55B11.3	1715.83427387053	-6.28253485378527	0.257424117487029	-22.4630656608024	9.53753534268957e-112	1.10617527096431e-108
OMA-2	4309.47738583833	-4.19192131989152	0.168061040722566	-21.9677404353702	5.86127457895825e-107	6.39809837421931e-104
CEY-2	19755.0834373043	-2.86193309917526	0.107793745723754	-21.9115968493038	2.01395840856466e-106	2.07627923265191e-103
ZC434.8	5281.53896943449	-2.44117969874454	0.0889367410389764	-21.8265215935203	1.29940565561797e-105	1.26910898691067e-102
DOD-23	15773.6574905495	-5.76263292156874	0.25032767410082	-21.0229769460056	4.04265632880299e-98	3.75097867467986e-95
CGH-1	18439.0509804164	-2.51677960207111	0.0966921787523156	-20.8577325290936	1.29675391315e-96	1.14589820792021e-93
D1086.6	1422.46262171101	-6.42663738576937	0.285573353445569	-20.7534677667292	1.14060464599727e-95	9.62100018898696e-93
Y47H10A.5	1345.32077151204	5.49225583607026	0.244373410348119	20.428801271622	9.27510474448685e-93	7.48339646710619e-90
Y62H9A.5	4867.5016995567	-8.51006790811119	0.395468016188795	-20.2546541824187	3.23211469743984e-91	2.49909801834963e-88
COL-143	36521.0437846786	-8.55552322186836	0.404835393526812	-19.8982681620075	4.21233164716895e-88	3.12672953506057e-85
Y62H9A.6	5260.62025784746	-8.58505364902321	0.408427042647966	-19.7955884522366	3.2493524399216e-87	2.31916281644712e-84
Y57G11B.5	3427.25773302532	-8.97608494099991	0.429273206527431	-19.7451991228767	8.82164589252487e-87	5.87425889908694e-84
COL-8	25967.4479851106	-6.89397166051938	0.323828034299516	-19.7449602359178	8.86346118308101e-87	5.87425889908694e-84
F48E3.4	1605.14250038277	-5.93008236538094	0.275286238543091	-19.7252227140695	1.30979298681797e-86	8.38132015737276e-84
SPN-4	5167.80404865039	-3.09046768333149	0.132483398108861	-19.5531494535104	3.87823332162542e-85	2.39894585831343e-82
TRCS-1	3651.49325624496	-3.32275857618021	0.144878129184687	-19.4836763289636	1.51034889282652e-84	9.04114335618766e-82
COL-101	35202.4177609808	-6.87869863195745	0.331974369974074	-19.214431019044	2.80289964320977e-82	1.62541902122012e-79
ZK813.3	2997.28652635184	-7.82789500889938	0.387438712238438	-18.9136882232605	8.79825078860791e-80	4.94754969346051e-77
GLN-6	7066.39723552427	-4.4266744109089	0.207753356740201	-18.9006544708651	1.12646541108461e-79	6.14818195102857e-77
D1086.11	2013.66263196373	-6.4846832055053	0.317016340201476	-18.8781537308197	1.72511712210723e-79	9.14657098141256e-77
T21C9.13	950.30618487495	-3.95470178024323	0.18411191889403	-18.7641397743058	1.48380139757153e-78	7.64858403742636e-76
CBD-1	15380.1141055938	-4.09371706949048	0.192139289233226	-18.7037075229746	4.61793753600016e-78	2.31608288798797e-75
C38D9.2	310.146020748334	4.31232608761881	0.204723414891292	18.6218371242154	2.13753587235021e-77	1.04384876797902e-74
GFAT-2	6234.302818212	-4.12116391880879	0.196468803229655	-18.4312412926746	7.37708425224669e-76	3.51016801202415e-73
